Order,Index,Topic,Argument,Words,Condition_Share,Share,Agreement,Agreement.Contacts,New
31,115,Er stråling fra mobiltelefoner og Wi-fi skadeligt?,Effekterne fra strålinger fra mobiltelefoner og Wi-Fi er minimale ,11,1,0,50.0,50.0,0
32,107,Er det etisk forkert at se pornografi?,"At se pornografi bidrager til overtrædelser af menneskerettighederne, herunder kønslig ulighed",10,1,0,63.45626,50.0,0
33,184,Bør atomkraft erstatte fossile brændstoffer?,Der er bekymring vedrørende sikkerheden i forbindelse med kernekraftreaktorer og potentiel fare for aktørerne,13,1,0,89.14947,50.0,0
34,221,Bør brugen af plastik undgås? ,"Jo mindre plastik vi bruger, desto mindre plastik skal vi producere",12,1,0,92.61507,50.0,0
35,247,Bør alle stoffer blive legaliseret?,At tage stoffer kan være en vigtig og positiv oplevelse for enkeltpersoner og fællesskaber,13,1,0,39.31659,50.0,0
36,59,Hjælper eller skader elektroniske apparater børns udvikling?,Brugen af elektroniske enheder i skolen kan have en negativ indvirkning på børns karakterer,9,1,0,50.0,50.0,0
37,162,Bør nogle føle sig forpligtet til at ændre sin livsstil for at bekæmpe global opvarmning?,"Mennesker, der lever i privilegerede positioner, har et moralsk ansvar for at ændre deres livsstil",13,1,0,80.06722,50.0,0
38,156,Er moderne teknologi er en ulempe for samfundet?,Mange samfund ville ikke være mulige uden moderne teknologi - især store urbaniserede samfund,14,1,0,61.54421,62.02222,0
39,143,Bør et udvælgelseslotteri være en grundlæggende del af demokratiske politiske systemer?,At blive udpeget til en magtposition ved lotteri ville efterlade mange mennesker overvældet og uforberedte,16,1,0,65.0098,50.0,0
40,132,Hjælper eller skader sociale medier menneskelige relationer?,Sociale medier giver brugerne mulighed for at oprette forbindelse til flere mennesker,9,1,0,43.02119,50.0,0
41,290,Bør vi tilpasse os klimaforandringer i stedet for at forhindre dem?,"Hvis vi beslutter os for at tilpasse os klimaforandringerne, vil vi miste evnen til at afværge dem",17,1,0,55.56904,50.0,0
42,199,Bør salget af genetisk modificeret mad forbydes?,"Genetisk modificeret mad udgør en trussel mod sundheden for dem, der indtager det.",11,1,0,81.85977,50.0,0
43,124,Er videnskab lig religion?,"I modsætning til religion er videnskab baseret på beviser og eksperimentering, hvilket er en mere pålidelig metode til at opnå sandheden",18,1,0,50.0,50.0,0
44,176,Bør abort betragtes som mord?,At sidestille abort med mord ville få kvinder til at bruge usikre metoder og sætte deres liv i fare,17,1,0,99.78527,50.0,0
45,220,Bør brugen af plastik undgås? ,"Jo mindre plastik vi bruger, desto mindre plastikforurening vil der være",12,1,0,83.65232,83.29381,0
46,130,Hjælper eller skader sociale medier menneskelige relationer?,Sociale medier har gjort det lettere at kommunikere og forbedret kvaliteten af kommunikationen,13,1,0,30.95136,50.0,0
47,116,Er stråling fra mobiltelefoner og Wi-fi skadeligt?,"Mobiltelefoner og Wi-Fi udsender ikke-ioniserende stråling, som ikke er skadelig i små doser.",14,1,0,50.0,50.0,0
48,181,Bør atomkraft erstatte fossile brændstoffer?,Kerneenergi rummer langt større potentiale end fossile brændsler til at udvikle sig gennem teknologiske gennembrud og øget effektivitet,17,1,0,40.51162,50.0,0
49,54,Hjælper eller skader elektroniske apparater børns udvikling?,Elektroniske enheder kan gavne forældre ved at tilbyde dem større kontrol over deres børns udvikling,13,1,0,55.21053,50.0,0
50,149,Er moderne teknologi er en ulempe for samfundet?,Et samfund bliver sårbart ved at stole for meget på teknologi ,9,1,0,78.75268,50.0,0
51,37,Er Darwins evolutionsteori filosofi eller videnskab?,Darwins teori har logiske fejl og kan derfor næppe betragtes som videnskab,14,1,0,50.0,50.0,0
52,158,Bør nogle føle sig forpligtet til at ændre sin livsstil for at bekæmpe global opvarmning?,"Politikere og politiske partier bør være ansvarlige for at vedtage de love og reguleringer, der er nødvendige for at foretage ændringer i en stor skala",19,1,0,82.57679,50.0,0
53,228,Bør brugen af plastik undgås? ,"Plastik bliver sandsynligvis erstattet af noget, der er mindre miljøvenligt. Så det ville ikke give mening at undgå brugen af plastik",16,1,0,56.52507,50.0,0
54,227,Bør brugen af plastik undgås? ,"Så længe det er genanvendeligt, er der intet i vejen med plastik",12,1,0,65.48782,50.0,0
55,214,Er det etisk forkert at spise kød?,At afslutte produktionen af kød vil være nødvendigt for at imødekomme det voksende fødevarebehov hos verdens befolkning,20,1,0,50.0,50.0,0
56,288,Bør vi tilpasse os klimaforandringer i stedet for at forhindre dem?,Menneskeheden har en lang historie med succesfuldt at tilpasse sig til klimaforandringer,11,1,0,50.0,50.0,0
57,31,Er Darwins evolutionsteori filosofi eller videnskab?,Der er aldrig blevet dokumenteret et enkelt eksempel på evolution,9,1,0,50.0,50.0,0
58,56,Hjælper eller skader elektroniske apparater børns udvikling?,Elektroniske apparater hjælper børn med særlige behov med at læse og skrive ligesom andre børn,12,1,0,71.941,50.0,0
59,195,Bør sexarbejde være lovligt?,Regeringen har ikke ret til at forbyde en interaktion mellem samtykkende voksne,12,1,0,69.43143,50.0,0
60,287,Bør vi tilpasse os klimaforandringer i stedet for at forhindre dem?,Det er umuligt at stoppe klimaforandringerne og deres påvirkninger,10,1,0,55.09103,50.0,0
61,194,Bør religion være involveret i politik?,Politik og religion bør lægges til side. Disse tre aspekter af livet bør IKKE følges ad: religion-stat-hær,15,1,0,50.0,50.0,0
62,219,Er det etisk forkert at spise kød?,"At spise kød er en integreret del af menneskets natur, evolution, fysiologi og biologi, og derfor er indtagelsen af kød naturligt for menneskeheden",20,1,0,50.0,50.0,0
63,161,Bør nogle føle sig forpligtet til at ændre sin livsstil for at bekæmpe global opvarmning?,"Mennesker i nutidens samfund bør ændre deres livsstil, fordi livskvaliteten for kommende generationer er lige så vigtig.",19,1,0,83.0548,50.0,0
64,212,Er det etisk forkert at spise kød?,At spise kød  indebærer for det meste en umoralsk og grusom behandling af dyr,15,1,0,44.33573,50.0,0
65,121,Er videnskab lig religion?,"Både videnskab og religion kræver troen på noget, som du personligt ikke forstår for at fungere",16,1,0,83.77182,50.0,0
66,188,Bør religion være involveret i politik?,"Det er nødvendigt at involvere religion i politik for at sikre, at love og politikker er etiske",15,1,0,50.0,50.0,0
67,202,Bør salget af genetisk modificeret mad forbydes?,Genetiske modificerede afgrøder kan bidrage til at reducere verdens sult og ernæringsmæssige mangler,12,1,0,50.0,50.0,0
68,237,Vil menneskeskabt klimaforandring føre til menneskehedens udryddelse?,"Beviser og statistikker tyder på, at de handlinger, vi foretager os, er tilstrækkelige til at håndtere større klimaforandringer",17,1,0,27.60527,50.0,0
69,150,Er moderne teknologi er en ulempe for samfundet?,"Teknologi gør det muligt for enkeltpersoner at eje eller kontrollere ejendom på afstand, hvilket mindsker den enkeltes direkte ansvar for ejendommen",19,1,0,79.3502,74.68957,0
70,232,Vil menneskeskabt klimaforandring føre til menneskehedens udryddelse?,"Hvis afgørende tippepunkter nås, så kan sammenbrud af økosystemer føre til udryddelse af menneskeracen",18,1,0,50.0,50.0,0
71,101,Er det etisk forkert at se pornografi?,Onani er naturaligt og gavnligt og her er pornografi et brugbart hjælpemiddel,12,1,0,87.23742,50.0,0
72,128,Er videnskab lig religion?,"Der findes mange forskellige former for religioner, nogle ligner videnskab, mens andre ikke gør",16,1,0,78.15517,50.0,0
73,245,Bør alle stoffer blive legaliseret?,Det har skadet samfund i hele verden at håndhæve kriminialisering af stoffer og bør stoppes,17,1,0,54.135,50.0,0
74,236,Vil menneskeskabt klimaforandring føre til menneskehedens udryddelse?,Klimaforandringer sker langsomt. Vi kan tilpasse os inde for den tidsramme,10,1,0,50.0,50.0,0
75,204,Bør salget af genetisk modificeret mad forbydes?,GMO'er er mere omkostningseffektive end umodificerede fødevarer og medfører mange fordele,11,1,0,40.27262,50.0,0
76,47,Skabte et guddommeligt væsen universet?,Kompleksiteten på mange af universets fænomener og interaktioner antyder tilstedeværelsen af en guddommelig skaber,14,1,0,59.27364,50.0,0
77,193,Bør religion være involveret i politik?,At involvere religion i politik er i modstrid med principperne for et sekulært demokratisk samfund,14,1,0,50.0,50.0,0
78,23,Er mennesker fundamentalt anderledes end andre dyr?,Mennesker har en følelse af selvbevidsthed og individuel identitet,9,1,0,87.47643,86.04239,0
79,152,Er moderne teknologi er en ulempe for samfundet?,"Moderne teknologi udvikler sig hurtigere end vores evne til at forstå, formulere og godkende effektive politikker, der kan beskytte os mod teknologisk skade",21,1,0,56.76407,50.0,0
80,246,Bør alle stoffer blive legaliseret?,"Hvis stoffer blev legaliseret, ville narkohandlen være mindre i stand til at fremme alvorlig kriminalitet",15,1,0,50.0,50.0,0
81,29,Er mennesker fundamentalt anderledes end andre dyr?,"Genetik beviser, at mennesker grundlæggende ligner andre arter",10,1,0,94.28812,94.04911,0
82,198,Bør sexarbejde være lovligt?,Legalisering af sexarbejde øger dets udbredelse og medfører større skade,12,1,0,37.04603,50.0,0
83,166,Liv vs. valg: Bør abort være lovligt?,"For at opnå kønslig lighed er det fundamentalt, at individer kan kontrollere deres egen reproduktion",15,1,0,90.46401,50.0,0
84,50,Skabte et guddommeligt væsen universet?,"Observationer af Guds skabende kraft er aftaget, efterhånden som menneskeheden har udviklet sig",11,1,0,71.34348,50.0,0
85,196,Bør sexarbejde være lovligt?,Det er umuligt at udrydde sexarbejde som profession. Derfor ville det være bedre at legalisere det,18,1,0,66.32434,50.0,0
86,49,Skabte et guddommeligt væsen universet?,Videnskaben tilbyder alternative forklaringer på universets oprindelse.,10,1,0,73.73354,50.0,0
87,272,Bør der ikke være nogen begrænsning for ytringsfriheden?,"Censur fører til snæversynethed, fordi det forhindrer ærlig og åben diskussion",11,1,0,70.38745,50.0,0
88,134,Hjælper eller skader sociale medier menneskelige relationer?,"Det er blevet påvist, at sociale medier kan føre til depression hos individer",9,1,0,64.7708,50.0,0
89,200,Bør salget af genetisk modificeret mad forbydes?,Genetiske modificerede fødevarer kan være skadelige for miljøet og økosystemer,11,1,0,72.77752,50.0,0
90,138,Bør et udvælgelseslotteri være en grundlæggende del af demokratiske politiske systemer?,Politikere valgt gennem lotteri ville være bedre til deres arbejde,10,1,0,50.0,50.0,0
91,155,Er moderne teknologi er en ulempe for samfundet?,Teknologisk tilbagestående lande har ingen magt på den globale scene,10,1,0,73.61404,69.78994,0
92,117,Er videnskab lig religion? ,"Videnskab og religion ligner hinanden ved, at begge er blevet brugt til at forklare menneskets oprindelse",17,1,0,71.34348,50.0,0
93,113,Er stråling fra mobiltelefoner og Wi-fi skadeligt?,Mobiltelefonstråling øger gennemtrængeligheden af blod-hjerne-barrieren,10,1,0,50.0,50.0,0
94,289,Bør vi tilpasse os klimaforandringer i stedet for at forhindre dem?,"Tilpasning er en kortvarig løsning, mens afværgelse af klimaforandringer er en langvarig løsning",13,1,0,50.0,50.0,0
95,167,Liv vs. valg: Bør abort være lovligt?,"Hvis folk har ret til at vælge, kan de træffe forudindtaget valg med hensyn til, hvilke fostre der skal aborteres",17,1,0,89.86649,50.0,0
96,281,Bør der ikke være nogen begrænsning for ytringsfriheden?,"Én persons frihed slutter, hvor en andens begynder: stødende og truende tale bør være ulovlig",13,1,0,84.96686,50.0,0
97,119,Er videnskab lig religion?,Både videnskab og religion bruger personlige erfaringer som en måde at forstå tilværelsen på,13,1,0,50.0,50.0,0
98,286,Bør vi tilpasse os klimaforandringer i stedet for at forhindre dem?,At tilpasse sig klimaforandringerne ville være hurtigere end at afværge dem,10,1,0,50.0,50.0,0
99,24,Er mennesker fundamentalt anderledes end andre dyr?,"Mennesker har menneskelig bevidsthed, som ontologisk og fundamentalt adskiller sig fra enhver anden form for bevidsthed",16,1,0,74.92858,50.0,0
100,276,Bør der ikke være nogen begrænsning for ytringsfriheden?,Isoleret tale kan ikke påføre fysisk skade,9,1,0,50.0,50.0,0
