Order,Index,Topic,Argument,Words,Condition_Share,Share,Agreement,Agreement.Contacts,New
13,198,Bør sexarbejde være lovligt?,Legalisering af sexarbejde øger dets udbredelse og medfører større skade,12,0,0,100.0,100.0,0
14,152,Er moderne teknologi er en ulempe for samfundet?,"Moderne teknologi udvikler sig hurtigere end vores evne til at forstå, formulere og godkende effektive politikker, der kan beskytte os mod teknologisk skade",21,0,0,100.0,100.0,0
15,26,Er mennesker fundamentalt anderledes end andre dyr?,"Alle dyr er grundlæggende forskellige fra hinanden, og der er intet unikt ved mennesker, der adskiller dem fra dyr",19,0,0,0.0,8.62527,0
16,246,Bør alle stoffer blive legaliseret?,"Hvis stoffer blev legaliseret, ville narkohandlen være mindre i stand til at fremme alvorlig kriminalitet",15,0,0,61.45105,61.93348,0
17,116,Er stråling fra mobiltelefoner og Wi-fi skadeligt?,"Mobiltelefoner og Wi-Fi udsender ikke-ioniserende stråling, som ikke er skadelig i små doser.",14,0,0,88.70819,79.42146,0
18,49,Skabte et guddommeligt væsen universet?,Videnskaben tilbyder alternative forklaringer på universets oprindelse.,10,0,0,100.0,58.07406,0
19,128,Er videnskab lig religion?,"Der findes mange forskellige former for religioner, nogle ligner videnskab, mens andre ikke gør",16,0,0,100.0,82.91906,0
20,221,Bør brugen af plastik undgås? ,"Jo mindre plastik vi bruger, desto mindre plastik skal vi producere",12,0,0,78.336,77.97418,0
21,229,Vil menneskeskabt klimaforandring føre til menneskehedens udryddelse?,"Konsekvenserne af global opvarmning udgør en direkte trussel mod det land og miljø, der er nødvendigt for menneskets overlevelse",16,0,0,61.20984,76.64751,0
22,232,Vil menneskeskabt klimaforandring føre til menneskehedens udryddelse?,"Hvis afgørende tippepunkter nås, så kan sammenbrud af økosystemer føre til udryddelse af menneskeracen",18,0,0,33.34967,32.50542,1
23,280,Bør der ikke være nogen begrænsning for ytringsfriheden?,Ubegrænset ytringsfrihed kan bruges til at sprede hadefulde og/eller skadelige ideologier,13,0,0,100.0,74.83841,0
24,181,Bør atomkraft erstatte fossile brændstoffer?,Kerneenergi rummer langt større potentiale end fossile brændsler til at udvikle sig gennem teknologiske gennembrud og øget effektivitet,17,0,0,24.54537,24.54537,0
25,230,Vil menneskeskabt klimaforandring føre til menneskehedens udryddelse?,Dyrearter er allerede begyndt at uddø. Udryddelsen af menneskeheden er sandsynligvis det næste,14,0,0,32.1436,31.17874,1
26,176,Bør abort betragtes som mord?,At sidestille abort med mord ville få kvinder til at bruge usikre metoder og sætte deres liv i fare,17,0,0,100.0,100.0,0
27,247,Bør alle stoffer blive legaliseret?,At tage stoffer kan være en vigtig og positiv oplevelse for enkeltpersoner og fællesskaber,13,0,0,0.18279,0.0,0
28,149,Er moderne teknologi er en ulempe for samfundet?,Et samfund bliver sårbart ved at stole for meget på teknologi ,9,0,0,0.0,24.54537,0
29,213,Er det etisk forkert at spise kød?,Vegetariske kostvaner bidrager direkte og indirekte til bedre sundhedsresultater for alle mennesker,13,0,0,100.0,73.63234,0
30,101,Er det etisk forkert at se pornografi?,Onani er naturaligt og gavnligt og her er pornografi et brugbart hjælpemiddel,12,0,0,100.0,71.58202,0
31,199,Bør salget af genetisk modificeret mad forbydes?,"Genetisk modificeret mad udgør en trussel mod sundheden for dem, der indtager det.",11,0,0,60.96862,75.32083,0
32,287,Bør vi tilpasse os klimaforandringer i stedet for at forhindre dem?,Det er umuligt at stoppe klimaforandringerne og deres påvirkninger,10,0,0,64.58683,33.83209,0
33,150,Er moderne teknologi er en ulempe for samfundet?,"Teknologi gør det muligt for enkeltpersoner at eje eller kontrollere ejendom på afstand, hvilket mindsker den enkeltes direkte ansvar for ejendommen",19,0,0,74.47659,91.72336,0
34,159,Bør nogle føle sig forpligtet til at ændre sin livsstil for at bekæmpe global opvarmning?,Ændringer i individuelle livsstile gør ingen forskel,9,0,0,60.4862,50.0,0
35,123,Er videnskab lig religion?,Videnskab er yderst dynamisk og konstant i udvikling; religioner er normalt statiske og bevarende,13,0,0,24.54537,13.93197,0
36,136,Bør et udvælgelseslotteri være en grundlæggende del af demokratiske politiske systemer?,Politik ville være mere repræsentativt under et lotterisystem,9,0,0,62.77773,61.69226,1
37,54,Hjælper eller skader elektroniske apparater børns udvikling?,Elektroniske enheder kan gavne forældre ved at tilbyde dem større kontrol over deres børns udvikling,13,0,0,0.0,27.80175,1
38,59,Hjælper eller skader elektroniske apparater børns udvikling?,Brugen af elektroniske enheder i skolen kan have en negativ indvirkning på børns karakterer,9,0,0,14.17318,33.9527,1
39,166,Liv vs. valg: Bør abort være lovligt?,"For at opnå kønslig lighed er det fundamentalt, at individer kan kontrollere deres egen reproduktion",15,0,0,82.07481,85.4518,0
40,227,Bør brugen af plastik undgås? ,"Så længe det er genanvendeligt, er der intet i vejen med plastik",12,0,0,100.0,74.35598,0
41,143,Bør et udvælgelseslotteri være en grundlæggende del af demokratiske politiske systemer?,At blive udpeget til en magtposition ved lotteri ville efterlade mange mennesker overvældet og uforberedte,16,0,0,75.92387,76.5269,1
42,121,Er videnskab lig religion?,"Både videnskab og religion kræver troen på noget, som du personligt ikke forstår for at fungere",16,0,0,86.65787,65.9135,0
43,112,Er stråling fra mobiltelefoner og Wi-fi skadeligt?,Mobiltelefonstråling absorberes mere af børns hjerner end af voksnes hjerner,13,0,0,53.85282,49.8728,1
44,124,Er videnskab lig religion?,"I modsætning til religion er videnskab baseret på beviser og eksperimentering, hvilket er en mere pålidelig metode til at opnå sandheden",18,0,0,17.67078,35.03816,0
45,23,Er mennesker fundamentalt anderledes end andre dyr?,Mennesker har en følelse af selvbevidsthed og individuel identitet,9,0,0,100.0,75.07962,0
46,161,Bør nogle føle sig forpligtet til at ændre sin livsstil for at bekæmpe global opvarmning?,"Mennesker i nutidens samfund bør ændre deres livsstil, fordi livskvaliteten for kommende generationer er lige så vigtig.",19,0,0,61.57166,76.76811,0
47,151,Er moderne teknologi er en ulempe for samfundet?,Teknolgi forhindrer os i at nyde de nuværende øjeblikke,14,0,0,0.0,26.8369,0
48,164,Liv vs. valg: Bør abort være lovligt?,"Mennesker har ret til selvbestemmelse over deres krop og bør kunne træffe et eget valg om, hvad der sker med deres kroppe",21,0,0,70.25535,78.69782,0
49,153,Er moderne teknologi er en ulempe for samfundet?,For at undgå en katastrofe bør teknologisk udvkling følge med den hurtige forandring i vores samfund ,17,0,0,50.0,50.0,1
50,157,Er moderne teknologi er en ulempe for samfundet?,Teknologi har ændret hverdagen til det bedre for altid,9,0,0,100.0,100.0,0
51,245,Bør alle stoffer blive legaliseret?,Det har skadet samfund i hele verden at håndhæve kriminialisering af stoffer og bør stoppes,17,0,0,0.0,0.0,0
52,190,Bør religion være involveret i politik?,"Næsten alle love er baseret på moralske overbevisninger, derfor er det passende, at religiøse personer deltager i politik",20,0,0,50.59644,77.25054,0
53,290,Bør vi tilpasse os klimaforandringer i stedet for at forhindre dem?,"Hvis vi beslutter os for at tilpasse os klimaforandringerne, vil vi miste evnen til at afværge dem",17,0,0,82.31603,78.69782,1
54,158,Bør nogle føle sig forpligtet til at ændre sin livsstil for at bekæmpe global opvarmning?,"Politikere og politiske partier bør være ansvarlige for at vedtage de love og reguleringer, der er nødvendige for at foretage ændringer i en stor skala",19,0,0,100.0,100.0,0
55,212,Er det etisk forkert at spise kød?,At spise kød  indebærer for det meste en umoralsk og grusom behandling af dyr,15,0,0,0.0,8.14284,0
56,204,Bør salget af genetisk modificeret mad forbydes?,GMO'er er mere omkostningseffektive end umodificerede fødevarer og medfører mange fordele,11,0,0,84.72816,69.16989,0
57,47,Skabte et guddommeligt væsen universet?,Kompleksiteten på mange af universets fænomener og interaktioner antyder tilstedeværelsen af en guddommelig skaber,14,0,0,100.0,100.0,0
58,117,Er videnskab lig religion? ,"Videnskab og religion ligner hinanden ved, at begge er blevet brugt til at forklare menneskets oprindelse",17,0,0,79.18025,78.336,1
59,155,Er moderne teknologi er en ulempe for samfundet?,Teknologisk tilbagestående lande har ingen magt på den globale scene,10,0,0,64.58683,64.94865,0
60,193,Bør religion være involveret i politik?,At involvere religion i politik er i modstrid med principperne for et sekulært demokratisk samfund,14,0,0,50.0,50.95826,1
61,184,Bør atomkraft erstatte fossile brændstoffer?,Der er bekymring vedrørende sikkerheden i forbindelse med kernekraftreaktorer og potentiel fare for aktørerne,13,0,0,25.75144,23.3393,0
62,113,Er stråling fra mobiltelefoner og Wi-fi skadeligt?,Mobiltelefonstråling øger gennemtrængeligheden af blod-hjerne-barrieren,10,0,0,50.0,50.0,1
63,217,Er det etisk forkert at spise kød?,At indtage kød er en vigtig del af mange kulturer og religioner,11,0,0,60.12438,60.72741,1
64,272,Bør der ikke være nogen begrænsning for ytringsfriheden?,"Censur fører til snæversynethed, fordi det forhindrer ærlig og åben diskussion",11,0,0,73.99416,100.0,0
65,21,Er mennesker fundamentalt anderledes end andre dyr?,Mennesker er intellektuelt overlegne overfor andre væsener på Jorden ,9,0,0,100.0,100.0,0
66,188,Bør religion være involveret i politik?,"Det er nødvendigt at involvere religion i politik for at sikre, at love og politikker er etiske",15,0,0,64.46622,64.58683,0
67,249,Bør alle stoffer blive legaliseret?,"Stoffer bør forblive forbudt, fordi de er sundhedsskadelige for de personer, der bruger dem",16,0,0,100.0,100.0,0
68,50,Skabte et guddommeligt væsen universet?,"Observationer af Guds skabende kraft er aftaget, efterhånden som menneskeheden har udviklet sig",11,0,0,0.0,0.0,1
69,202,Bør salget af genetisk modificeret mad forbydes?,Genetiske modificerede afgrøder kan bidrage til at reducere verdens sult og ernæringsmæssige mangler,12,0,0,100.0,76.5269,0
70,29,Er mennesker fundamentalt anderledes end andre dyr?,"Genetik beviser, at mennesker grundlæggende ligner andre arter",10,0,0,71.34081,70.01413,0
71,31,Er Darwins evolutionsteori filosofi eller videnskab?,Der er aldrig blevet dokumenteret et enkelt eksempel på evolution,9,0,0,100.0,100.0,0
72,220,Bør brugen af plastik undgås? ,"Jo mindre plastik vi bruger, desto mindre plastikforurening vil der være",12,0,0,75.92387,75.56205,0
73,177,Bør dyreforsøg forbydes?,"Der er foretrukne alternativer til dyreforsøg, som er mere præcise og humane",13,0,0,50.0,50.0,1
74,162,Bør nogle føle sig forpligtet til at ændre sin livsstil for at bekæmpe global opvarmning?,"Mennesker, der lever i privilegerede positioner, har et moralsk ansvar for at ændre deres livsstil",13,0,0,100.0,100.0,0
75,196,Bør sexarbejde være lovligt?,Det er umuligt at udrydde sexarbejde som profession. Derfor ville det være bedre at legalisere det,18,0,0,0.06219,1.14765,0
76,214,Er det etisk forkert at spise kød?,At afslutte produktionen af kød vil være nødvendigt for at imødekomme det voksende fødevarebehov hos verdens befolkning,20,0,0,56.74739,66.27532,0
77,286,Bør vi tilpasse os klimaforandringer i stedet for at forhindre dem?,At tilpasse sig klimaforandringerne ville være hurtigere end at afværge dem,10,0,0,80.74814,79.90389,1
78,200,Bør salget af genetisk modificeret mad forbydes?,Genetiske modificerede fødevarer kan være skadelige for miljøet og økosystemer,11,0,0,71.2202,93.05003,0
79,167,Liv vs. valg: Bør abort være lovligt?,"Hvis folk har ret til at vælge, kan de træffe forudindtaget valg med hensyn til, hvilke fostre der skal aborteres",17,0,0,74.83841,75.07962,0
80,219,Er det etisk forkert at spise kød?,"At spise kød er en integreret del af menneskets natur, evolution, fysiologi og biologi, og derfor er indtagelsen af kød naturligt for menneskeheden",20,0,0,62.05408,61.69226,0
81,119,Er videnskab lig religion?,Både videnskab og religion bruger personlige erfaringer som en måde at forstå tilværelsen på,13,0,0,70.01413,65.9135,0
82,216,Er det etisk forkert at spise kød?,"Smagen af kød er lækker og giver mange mennesker glæde på en måde, som vegetarisk mad ikke fuldt ud kan efterligne",20,0,0,0.0,35.7618,0
83,24,Er mennesker fundamentalt anderledes end andre dyr?,"Mennesker har menneskelig bevidsthed, som ontologisk og fundamentalt adskiller sig fra enhver anden form for bevidsthed",16,0,0,91.60275,92.08518,0
84,281,Bør der ikke være nogen begrænsning for ytringsfriheden?,"Én persons frihed slutter, hvor en andens begynder: stødende og truende tale bør være ulovlig",13,0,0,100.0,100.0,0
85,140,Bør et udvælgelseslotteri være en grundlæggende del af demokratiske politiske systemer?,"Der ville være mindre korruption ved lotteri, da al korruption ville forsvinde hver gang lotteriet fandt sted",16,0,0,20.32413,18.75624,1
86,37,Er Darwins evolutionsteori filosofi eller videnskab?,Darwins teori har logiske fejl og kan derfor næppe betragtes som videnskab,14,0,0,100.0,100.0,0
87,156,Er moderne teknologi er en ulempe for samfundet?,Mange samfund ville ikke være mulige uden moderne teknologi - især store urbaniserede samfund,14,0,0,78.57722,78.2154,0
88,276,Bør der ikke være nogen begrænsning for ytringsfriheden?,Isoleret tale kan ikke påføre fysisk skade,9,0,0,20.92716,17.06775,0
89,289,Bør vi tilpasse os klimaforandringer i stedet for at forhindre dem?,"Tilpasning er en kortvarig løsning, mens afværgelse af klimaforandringer er en langvarig løsning",13,0,0,100.0,100.0,1
90,138,Bør et udvælgelseslotteri være en grundlæggende del af demokratiske politiske systemer?,Politikere valgt gennem lotteri ville være bedre til deres arbejde,10,0,0,0.0,0.0,1
91,107,Er det etisk forkert at se pornografi?,"At se pornografi bidrager til overtrædelser af menneskerettighederne, herunder kønslig ulighed",10,0,0,59.64195,100.0,0
92,222,Bør brugen af plastik undgås? ,"Plastik bliver eksporteret, hvorfor et nedsat forbrug af plastik vil reducere CO2-emmisionen, der stammer fra transport",13,0,0,100.0,100.0,0
93,228,Bør brugen af plastik undgås? ,"Plastik bliver sandsynligvis erstattet af noget, der er mindre miljøvenligt. Så det ville ikke give mening at undgå brugen af plastik",16,0,0,65.55168,65.43108,1
94,233,Vil menneskeskabt klimaforandring føre til menneskehedens udryddelse?,"Menneskets evolution er langsommere end klimaforandringerne, hvilket gør det svært for mennesker at tilpasse sig klimaforandringer",20,0,0,21.04777,22.37445,1
95,115,Er stråling fra mobiltelefoner og Wi-fi skadeligt?,Effekterne fra strålinger fra mobiltelefoner og Wi-Fi er minimale ,11,0,0,61.08923,61.20984,0
96,242,Vil menneskeskabt klimaforandring føre til menneskehedens udryddelse?,Menneskeskabte kulstofemissioner vil sandsynligvis beskytte mennesker mod en anden istid,12,0,0,18.51503,50.0,0
97,134,Hjælper eller skader sociale medier menneskelige relationer?,"Det er blevet påvist, at sociale medier kan føre til depression hos individer",9,0,0,74.7178,74.23537,0
98,180,Bør dyreforsøg forbydes?,Dyreforsøg er en effektiv metode til at teste produkter,9,0,0,100.0,50.0,0
99,132,Hjælper eller skader sociale medier menneskelige relationer?,Sociale medier giver brugerne mulighed for at oprette forbindelse til flere mennesker,9,0,0,95.22096,97.87431,0
100,130,Hjælper eller skader sociale medier menneskelige relationer?,Sociale medier har gjort det lettere at kommunikere og forbedret kvaliteten af kommunikationen,13,0,0,50.0,50.0,1
